,value,percentage,datetime,type
0,42837.007,0.05291693229254727,2020-01-01T00:00:00.000+01:00,Hidráulica
1,41127.482,0.05815647445966188,2020-02-01T00:00:00.000+01:00,Hidráulica
2,74834.96,0.06141324079173512,2020-03-01T00:00:00.000+01:00,Hidráulica
3,84727.773,0.09507334610523714,2020-04-01T00:00:00.000+02:00,Hidráulica
4,81019.221,0.0761201858946472,2020-05-01T00:00:00.000+02:00,Hidráulica
5,76267.721,0.06845242353955558,2020-06-01T00:00:00.000+02:00,Hidráulica
6,73644.057,0.06848844920143701,2020-07-01T00:00:00.000+02:00,Hidráulica
7,70583.172,0.06841459132395375,2020-08-01T00:00:00.000+02:00,Hidráulica
8,42371.251,0.04386317695778426,2020-09-01T00:00:00.000+02:00,Hidráulica
9,30150.68,0.027049735028700714,2020-10-01T00:00:00.000+02:00,Hidráulica
10,33507.403,0.047503119708989364,2020-11-01T00:00:00.000+01:00,Hidráulica
11,41917.384,0.031470703323353826,2020-12-01T00:00:00.000+01:00,Hidráulica
0,609470.64,0.7528844531826291,2020-01-01T00:00:00.000+01:00,Eólica
1,428947.467,0.6065548192112067,2020-02-01T00:00:00.000+01:00,Eólica
2,869059.177,0.7131926107713313,2020-03-01T00:00:00.000+01:00,Eólica
3,505277.673,0.566973937629375,2020-04-01T00:00:00.000+02:00,Eólica
4,542464.047,0.5096625663532686,2020-05-01T00:00:00.000+02:00,Eólica
5,524431.112,0.4706916651665008,2020-06-01T00:00:00.000+02:00,Eólica
6,459931.195,0.42773273999439926,2020-07-01T00:00:00.000+02:00,Eólica
7,434294.979,0.42095180282249245,2020-08-01T00:00:00.000+02:00,Eólica
8,520800.002,0.539137790558518,2020-09-01T00:00:00.000+02:00,Eólica
9,734994.818,0.6594018799698085,2020-10-01T00:00:00.000+02:00,Eólica
10,453348.283,0.6427074565347183,2020-11-01T00:00:00.000+01:00,Eólica
11,1085171.316,0.8147241378624547,2020-12-01T00:00:00.000+01:00,Eólica
0,124733.244,0.15408407565397317,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica
1,180871.14,0.2557615327361867,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica
2,206472.401,0.16944138514219412,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica
3,232128.58,0.2604723344641341,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica
4,323756.067,0.3041793256017587,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica
5,376355.772,0.3377898850091562,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica
6,389875.803,0.3625817237178414,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica
7,377898.344,0.36628788469238655,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica
8,296058.927,0.3064834008543371,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica
9,264718.507,0.23749266920491527,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica
10,158155.565,0.2242156080206469,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica
11,151385.184,0.11365685924520794,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica
0,9914.829,0.012247875648389351,2020-01-01T00:00:00.000+01:00,Solar térmica
