,value,percentage,datetime,type
0,26490.113,0.561891954471207,2021-01-01T00:00:00.000+01:00,Hidráulica
1,38930.522,0.6009983849523507,2021-02-01T00:00:00.000+01:00,Hidráulica
2,24195.068,0.4487302051210572,2021-03-01T00:00:00.000+01:00,Hidráulica
3,13088.903,0.3148670540449404,2021-04-01T00:00:00.000+02:00,Hidráulica
4,8455.222,0.2153273715236048,2021-05-01T00:00:00.000+02:00,Hidráulica
5,10519.844,0.2562573766436158,2021-06-01T00:00:00.000+02:00,Hidráulica
6,11175.877,0.266857574448555,2021-07-01T00:00:00.000+02:00,Hidráulica
7,11293.412,0.3049757340069145,2021-08-01T00:00:00.000+02:00,Hidráulica
8,6847.758,0.20074269506973264,2021-09-01T00:00:00.000+02:00,Hidráulica
9,4728.201,0.13831124815797607,2021-10-01T00:00:00.000+02:00,Hidráulica
10,3614.52,0.11975181941333397,2021-11-01T00:00:00.000+01:00,Hidráulica
11,4046.756,0.1330007227399906,2021-12-01T00:00:00.000+01:00,Hidráulica
0,2725.131,0.05780379962063864,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica
1,4573.041,0.07059731321662945,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica
2,7409.164,0.13741295050278646,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica
3,6904.51,0.16609510539758995,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica
4,9294.889,0.23671099552130828,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica
5,9123.747,0.22224925306687623,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica
6,10106.43,0.2413213205669774,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica
7,9325.536,0.2518337404681513,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica
8,7117.108,0.20863871664599634,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica
9,6518.099,0.1906700684482863,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica
10,4832.764,0.1601131773500386,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica
11,3622.212,0.11904765543498716,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica
0,12840.69,0.2723688041972068,2021-01-01T00:00:00.000+01:00,Otras renovables
1,14136.785,0.21823968744674468,2021-02-01T00:00:00.000+01:00,Otras renovables
2,15947.701,0.29577164821108537,2021-03-01T00:00:00.000+01:00,Otras renovables
3,14197.974,0.3415469002090289,2021-04-01T00:00:00.000+02:00,Otras renovables
4,15235.443,0.38799784265720094,2021-05-01T00:00:00.000+02:00,Otras renovables
5,14541.792,0.35422972713446316,2021-06-01T00:00:00.000+02:00,Otras renovables
6,14197.692,0.3390124685416324,2021-07-01T00:00:00.000+02:00,Otras renovables
7,13566.525,0.3663605755105858,2021-08-01T00:00:00.000+02:00,Otras renovables
8,13789.603,0.4042435597405268,2021-09-01T00:00:00.000+02:00,Otras renovables
9,15370.066,0.4496113876568426,2021-10-01T00:00:00.000+02:00,Otras renovables
10,14372.295,0.4761651548186655,2021-11-01T00:00:00.000+01:00,Otras renovables
11,15386.281,0.5056856635983453,2021-12-01T00:00:00.000+01:00,Otras renovables
0,5088.562,0.10793544171094756,2021-01-01T00:00:00.000+01:00,Residuos renovables
1,7136.069,0.11016461438427508,2021-02-01T00:00:00.000+01:00,Residuos renovables
2,6367.0315,0.11808519616507103,2021-03-01T00:00:00.000+01:00,Residuos renovables
3,7378.2305,0.17749094034844076,2021-04-01T00:00:00.000+02:00,Residuos renovables
4,6281.27,0.1599637902978861,2021-05-01T00:00:00.000+02:00,Residuos renovables
5,6866.485,0.16726364315504472,2021-06-01T00:00:00.000+02:00,Residuos renovables
6,6399.558,0.15280863644283538,2021-07-01T00:00:00.000+02:00,Residuos renovables
7,2845.0535,0.0768299500143483,2021-08-01T00:00:00.000+02:00,Residuos renovables
8,6357.6465,0.18637502854374421,2021-09-01T00:00:00.000+02:00,Residuos renovables
9,7568.858,0.22140729573689497,2021-10-01T00:00:00.000+02:00,Residuos renovables
10,7363.8455,0.24396984841796202,2021-11-01T00:00:00.000+01:00,Residuos renovables
11,7371.3225,0.242265958226677,2021-12-01T00:00:00.000+01:00,Residuos renovables
0,47144.496,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable
1,64776.417,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable
2,53918.964499999995,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable
3,41569.6175,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable
4,39266.82399999999,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable
5,41051.868,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable
6,41879.55699999999,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable
7,37030.5265,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable
8,34112.1155,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable
9,34185.224,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable
10,30183.424499999997,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable
11,30426.5715,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable
