,value,percentage,datetime,type
0,1413430.997,0.5685277343203999,2021-01-01T00:00:00.000+01:00,Hidráulica
1,1505956.673,0.530921212743563,2021-02-01T00:00:00.000+01:00,Hidráulica
2,1083248.775,0.5449151087261367,2021-03-01T00:00:00.000+01:00,Hidráulica
3,699410.082,0.49949670397774704,2021-04-01T00:00:00.000+02:00,Hidráulica
4,504451.519,0.38129345606318793,2021-05-01T00:00:00.000+02:00,Hidráulica
5,481459.457,0.4180486183181276,2021-06-01T00:00:00.000+02:00,Hidráulica
6,503801.955,0.4974831373607679,2021-07-01T00:00:00.000+02:00,Hidráulica
7,262485.023,0.29609977998469006,2021-08-01T00:00:00.000+02:00,Hidráulica
8,157684.864,0.21389762684580052,2021-09-01T00:00:00.000+02:00,Hidráulica
9,152085.826,0.14841300933488996,2021-10-01T00:00:00.000+02:00,Hidráulica
10,215015.87,0.18533093593081257,2021-11-01T00:00:00.000+01:00,Hidráulica
11,712698.558,0.36124232965531144,2021-12-01T00:00:00.000+01:00,Hidráulica
0,1025512.482,0.4124943411784749,2021-01-01T00:00:00.000+01:00,Eólica
1,1273594.165,0.4490023987728135,2021-02-01T00:00:00.000+01:00,Eólica
2,848639.432,0.42689773487864496,2021-03-01T00:00:00.000+01:00,Eólica
3,630268.028,0.4501176215651898,2021-04-01T00:00:00.000+02:00,Eólica
4,761814.463,0.575823163446935,2021-05-01T00:00:00.000+02:00,Eólica
5,630042.156,0.5470621647753285,2021-06-01T00:00:00.000+02:00,Eólica
6,462023.114,0.45622829765698647,2021-07-01T00:00:00.000+02:00,Eólica
7,550034.71,0.620474093163566,2021-08-01T00:00:00.000+02:00,Eólica
8,517556.785,0.7020595716114021,2021-09-01T00:00:00.000+02:00,Eólica
9,798279.259,0.7790011090041753,2021-10-01T00:00:00.000+02:00,Eólica
10,871576.581,0.7512473544027595,2021-11-01T00:00:00.000+01:00,Eólica
11,1190750.238,0.6035502460112128,2021-12-01T00:00:00.000+01:00,Eólica
0,914.91,0.0003680064400109354,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica
1,1031.683,0.0003637172299490965,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica
2,2160.924,0.001087026510977516,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica
3,2147.635,0.0015337734348634237,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica
4,2634.633,0.0019914070712276416,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica
5,2506.013,0.0021759574080549545,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica
6,2577.361,0.0025450350552754125,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica
7,2635.28,0.002972763242945309,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica
8,1884.868,0.0025568008361131628,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica
9,1674.534,0.0016340946208464597,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica
10,1341.015,0.0011558754479251165,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica
11,819.778,0.0004155172073747509,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica
0,32446.143,0.013050889789723286,2021-01-01T00:00:00.000+01:00,Otras renovables
1,41794.285,0.01473446937470432,2021-02-01T00:00:00.000+01:00,Otras renovables
2,38606.177,0.01942036734586243,2021-03-01T00:00:00.000+01:00,Otras renovables
3,55329.653,0.03951469962615217,2021-04-01T00:00:00.000+02:00,Otras renovables
4,47971.546,0.03625965207378868,2021-05-01T00:00:00.000+02:00,Otras renovables
5,26578.995,0.023078396268856386,2021-06-01T00:00:00.000+02:00,Otras renovables
6,28074.077,0.027721964485961103,2021-07-01T00:00:00.000+02:00,Otras renovables
7,55375.859,0.062467486635849764,2021-08-01T00:00:00.000+02:00,Otras renovables
8,45453.137,0.06165663520499374,2021-09-01T00:00:00.000+02:00,Otras renovables
9,57427.209,0.05604036306048453,2021-10-01T00:00:00.000+02:00,Otras renovables
10,58381.349,0.05032126257040193,2021-11-01T00:00:00.000+01:00,Otras renovables
11,52218.432,0.026467723015411893,2021-12-01T00:00:00.000+01:00,Otras renovables
0,13820.439,0.005559028271390948,2021-01-01T00:00:00.000+01:00,Residuos renovables
1,14120.657,0.004978201878969915,2021-02-01T00:00:00.000+01:00,Residuos renovables
2,15266.7695,0.00767976253837847,2021-03-01T00:00:00.000+01:00,Residuos renovables
3,13074.226,0.009337201396047596,2021-04-01T00:00:00.000+02:00,Residuos renovables
4,6128.5645,0.0046323213448608205,2021-05-01T00:00:00.000+02:00,Residuos renovables
5,11096.3075,0.00963486322963239,2021-06-01T00:00:00.000+02:00,Residuos renovables
6,16225.0645,0.016021565441009092,2021-07-01T00:00:00.000+02:00,Residuos renovables
7,15944.0285,0.017985876972948768,2021-08-01T00:00:00.000+02:00,Residuos renovables
8,14618.165,0.019829365501690396,2021-09-01T00:00:00.000+02:00,Residuos renovables
9,15280.441,0.014911423979603699,2021-10-01T00:00:00.000+02:00,Residuos renovables
10,13857.7645,0.011944571648101084,2021-11-01T00:00:00.000+01:00,Residuos renovables
11,16422.865,0.008324184110689161,2021-12-01T00:00:00.000+01:00,Residuos renovables
0,2486124.971,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable
1,2836497.4630000005,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable
2,1987922.0775,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable
3,1400229.624,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable
4,1323000.7255,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable
5,1151682.9285000002,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable
6,1012701.5715000001,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable
7,886474.9005,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable
8,737197.819,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable
9,1024747.269,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable
10,1160172.5794999998,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable
11,1972909.8709999998,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable
