,value,percentage,datetime,type
0,4832.856,0.037240765284543606,2019-01-01T00:00:00.000+01:00,Hidráulica
1,6169.385,0.05918480432450164,2019-02-01T00:00:00.000+01:00,Hidráulica
2,8314.541,0.06759724031938227,2019-03-01T00:00:00.000+01:00,Hidráulica
3,5478.406,0.04160348134731706,2019-04-01T00:00:00.000+02:00,Hidráulica
4,9242.694,0.07055451693971715,2019-05-01T00:00:00.000+02:00,Hidráulica
5,10018.641,0.07468900334804204,2019-06-01T00:00:00.000+02:00,Hidráulica
6,11466.179,0.057185857654453186,2019-07-01T00:00:00.000+02:00,Hidráulica
7,11126.529,0.0546042986252797,2019-08-01T00:00:00.000+02:00,Hidráulica
8,4749.934,0.027503875581531206,2019-09-01T00:00:00.000+02:00,Hidráulica
9,3332.928,0.018856340985861583,2019-10-01T00:00:00.000+02:00,Hidráulica
10,3980.782,0.018170329137911893,2019-11-01T00:00:00.000+01:00,Hidráulica
11,3543.821,0.022998065709168947,2019-12-01T00:00:00.000+01:00,Hidráulica
0,68802.536,0.5301749305498367,2019-01-01T00:00:00.000+01:00,Eólica
1,32644.503,0.3131687392382882,2019-02-01T00:00:00.000+01:00,Eólica
2,39451.247,0.32073874244631295,2019-03-01T00:00:00.000+01:00,Eólica
3,54929.791,0.4171415070881064,2019-04-01T00:00:00.000+02:00,Eólica
4,28923.795,0.22079107934206263,2019-05-01T00:00:00.000+02:00,Eólica
5,25612.208,0.19093909933121161,2019-06-01T00:00:00.000+02:00,Eólica
6,28001.488,0.13965324515524127,2019-07-01T00:00:00.000+02:00,Eólica
7,19049.268,0.09348575089904358,2019-08-01T00:00:00.000+02:00,Eólica
8,30184.471,0.17477925690721952,2019-09-01T00:00:00.000+02:00,Eólica
9,31957.067,0.18079999095690774,2019-10-01T00:00:00.000+02:00,Eólica
10,102944.56,0.4698917293530565,2019-11-01T00:00:00.000+01:00,Eólica
11,62078.936,0.4028689511358767,2019-12-01T00:00:00.000+01:00,Eólica
0,50742.54,0.3910091718192235,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica
1,58696.982,0.5630981684736477,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica
2,67200.837,0.5463429825353723,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica
3,63908.605,0.4853273846535934,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica
4,83454.705,0.6370552132983736,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica
5,88044.719,0.6563736850305767,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica
6,152054.781,0.7583505422290243,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica
7,164647.901,0.8080222641067567,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica
8,131372.092,0.7606930271564765,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica
9,133912.582,0.7576225194451095,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica
10,106792.108,0.4874539102345804,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica
11,83995.317,0.5450980226226085,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica
0,1619.054,0.012476020389807076,2019-01-01T00:00:00.000+01:00,Solar térmica
1,2677.484,0.025685926007532993,2019-02-01T00:00:00.000+01:00,Solar térmica
2,3764.866,0.030608370536902938,2019-03-01T00:00:00.000+01:00,Solar térmica
3,3310.348,0.02513906440507117,2019-04-01T00:00:00.000+02:00,Solar térmica
4,5481.421,0.04184267171435312,2019-05-01T00:00:00.000+02:00,Solar térmica
5,6825.33,0.0508828587850879,2019-06-01T00:00:00.000+02:00,Solar térmica
6,5758.005,0.02871719116748742,2019-07-01T00:00:00.000+02:00,Solar térmica
7,5228.093,0.025657269343632178,2019-08-01T00:00:00.000+02:00,Solar térmica
